주소,지점명,전화번호,위도,경도,카테고리
부산강서구녹산산단335로12-5,우리은행녹산공단금융센터,051-831-3151,35.090257400909586,128.85464250691612,"금융,보험>금융서비스>은행>우리은행"
부산강서구명지국제8로234,우리은행부산명지출장소,051-973-0964,35.097953272478954,128.91853224703453,"금융,보험>금융서비스>은행>우리은행"
부산기장군기장읍읍내로92,우리은행기장지점,051-722-7064,35.24501756925326,129.2143022755533,"금융,보험>금융서비스>은행>우리은행"
부산기장군정관읍정관로561,우리은행부산정관지점,051-728-6291,35.32199231992281,129.17527028539214,"금융,보험>금융서비스>은행>우리은행"
부산남구문현금융로40,우리은행BIFC금융센터,051-711-1899,35.14719045474125,129.06583564119768,"금융,보험>금융서비스>은행>우리은행"
부산남구수영로189,우리은행대연동금융센터,051-632-4951,35.13507969673128,129.08739042984487,"금융,보험>금융서비스>은행>우리은행"
부산남구용호로64,우리은행메트로시티지점,051-612-0020,35.125697088027145,129.11067639774276,"금융,보험>금융서비스>은행>우리은행"
부산동구중앙대로287,우리은행초량지점,051-468-7051,35.12232331444954,129.0432214407179,"금융,보험>금융서비스>은행>우리은행"
부산동구진시장로16,우리은행범일동지점,051-646-5031,35.13687998233642,129.05828094808365,"금융,보험>금융서비스>은행>우리은행"
부산동래구금강공원로16,우리은행온천동금융센터,051-552-1231,35.21884164939641,129.0828604097401,"금융,보험>금융서비스>은행>우리은행"
부산동래구충렬대로107번길54,우리은행온천남지점,051-557-1641,35.209635267497106,129.073374542522,"금융,보험>금융서비스>은행>우리은행"
부산동래구충렬대로237번길30,우리은행동래금융센터,051-552-2631,35.20287568879657,129.08580660240273,"금융,보험>금융서비스>은행>우리은행"
부산부산진구당감서로80번길19,우리은행부암동지점,051-817-9631,35.16762419982931,129.03840189690715,"금융,보험>금융서비스>은행>우리은행"
부산부산진구복지로75,우리은행백병원출장소,051-895-2261,35.14590746544717,129.02035500891427,"금융,보험>금융서비스>은행>우리은행"
부산부산진구중앙대로697,우리은행부전동금융센터,051-806-5080,35.15515069101391,129.05888714354742,"금융,보험>금융서비스>은행>우리은행"
부산부산진구중앙대로718,우리은행서면지점,051-804-2007,35.156921455449165,129.05952431335663,"금융,보험>금융서비스>은행>우리은행"
부산부산진구중앙대로723,우리저축은행본점,051-811-9400,35.157140181286074,129.05837328054727,"금융,보험>금융서비스>은행>저축은행"
부산북구낙동대로1686,우리은행구포지점,051-332-1581,35.20526780087012,128.99594051438027,"금융,보험>금융서비스>은행>우리은행"
부산북구화명대로42,우리은행화명동지점,051-361-6161,35.234495887753155,129.01266163324757,"금융,보험>금융서비스>은행>우리은행"
부산사상구광장로7,우리은행르네시떼지점,051-319-5601,35.16376487544035,128.97811565521127,"금융,보험>금융서비스>은행>우리은행"
부산사상구사상로531번길24,우리은행모라동금융센터,051-301-0061,35.19234815857045,128.98846791189638,"금융,보험>금융서비스>은행>우리은행"
부산사상구새벽로133,우리은행사상지점,051-322-7200,35.15297397727359,128.98231688307925,"금융,보험>금융서비스>은행>우리은행"
부산사하구낙동남로1412,우리은행하단동지점,051-293-7100,35.10596477866866,128.9660539996195,"금융,보험>금융서비스>은행>우리은행"
부산사하구낙동대로261,우리은행괴정동지점,051-207-7001,35.09897066896692,128.98870044067718,"금융,보험>금융서비스>은행>우리은행"
부산사하구장평로262,우리은행신평동금융센터,051-201-0102,35.08955346742152,128.97325033665567,"금융,보험>금융서비스>은행>우리은행"
부산수영구광남로32,우리은행남천동지점,051-622-4101,35.14564852514748,129.11125304787657,"금융,보험>금융서비스>은행>우리은행"
부산수영구연수로420,우리은행수영역금융센터,051-752-0016,35.16745440106397,129.1145701708222,"금융,보험>금융서비스>은행>우리은행"
부산연제구과정로143,우리은행토곡지점,051-757-4151,35.18414801338624,129.10687901489894,"금융,보험>금융서비스>은행>우리은행"
부산연제구아시아드대로94,우리은행부산거제동지점,051-506-8071,35.19300497169952,129.0674442218273,"금융,보험>금융서비스>은행>우리은행"
부산연제구중앙대로1125,우리은행연산중앙금융센터,051-868-8001,35.18817261824664,129.08077197893425,"금융,보험>금융서비스>은행>우리은행"
부산영도구태종로63,우리은행영도지점,051-417-7111,35.092943426568056,129.0381296778923,"금융,보험>금융서비스>은행>우리은행"
부산중구광복로97번길11,우리은행부산금융센터,051-246-8340,35.09968108690658,129.0352589444022,"금융,보험>금융서비스>은행>우리은행"
부산중구광복중앙로25,우리저축은행중앙지점,051-811-9500,35.101540678684394,129.03061083859353,"금융,보험>금융서비스>은행>저축은행"
부산중구흑교로25,우리은행부산부평동지점,051-244-4075,35.101710977344226,129.02490310027912,"금융,보험>금융서비스>은행>우리은행"
부산해운대구선수촌로89,우리은행반여동지점,051-532-0241,35.2014889737228,129.1190522922936,"금융,보험>금융서비스>은행>우리은행"
부산해운대구세실로77,우리은행해운대지점,051-701-5001,35.17152379454717,129.17667256579003,"금융,보험>금융서비스>은행>우리은행"
부산해운대구센텀동로25,우리은행센텀시티지점,051-741-3416,35.171414546462906,129.13104151922522,"금융,보험>금융서비스>은행>우리은행"
부산해운대구센텀중앙로145,우리은행센텀파크지점,051-744-6111,35.18089697609796,129.1209508350429,"금융,보험>금융서비스>은행>우리은행"
부산해운대구해운대로650,우리은행해운대중앙지점,051-742-3088,35.16456206573774,129.16125222073785,"금융,보험>금융서비스>은행>우리은행"
부산해운대구해운대해변로120,우리은행TWOCHAIRSW부산,051-741-3625,35.159240261274135,129.1450655702595,"금융,보험>금융서비스>은행>우리은행"
